"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.447938076E0,-2.487397790E-1,1.549092293E0,-7.010718584E-1,1.718447020E0
4.464893480E0,-1.979775429E-1,1.154958725E0,-8.553953171E-1,1.450801817E0
4.481813748E0,-5.873376131E-2,6.967172623E-1,-8.126031160E-1,1.072002063E0
4.498764452E0,2.822574377E-1,8.602809906E-2,-5.519462824E-1,6.258712277E-1
4.515710539E0,1.466083527E-1,-1.809968948E-1,-3.976641893E-1,4.608586470E-1
4.532640390E0,9.918195009E-2,-5.911092758E-1,-2.340749502E-1,6.434580930E-1
4.549585814E0,7.093977928E-2,-9.232072830E-1,2.595373392E-1,9.616151882E-1
4.566515777E0,-1.695499420E-1,-1.297028542E0,-3.653526306E-3,1.308068641E0
4.583461365E0,3.079921007E-2,-1.687099457E0,-1.054961681E-1,1.690675194E0
4.600395721E0,1.765575409E-1,-1.869871140E0,-1.982157826E-1,1.888618580E0
4.617333243E0,3.823095560E-1,-2.207637787E0,-2.579653263E-1,2.255298496E0
4.634270876E0,2.253649235E-1,-2.322195053E0,-1.760429442E-1,2.339737236E0
4.651208803E0,1.003014445E-1,-2.325415611E0,-1.493239999E-1,2.332362708E0
4.668147045E0,8.924651146E-2,-2.546323776E0,-2.463591695E-1,2.559770020E0
4.685084556E0,1.819824576E-1,-2.973575592E0,-1.498269737E-1,2.982904212E0
4.702022515E0,5.884067416E-1,-3.570446968E0,1.289582849E-1,3.620903794E0
4.718960472E0,6.082707644E-1,-3.979075432E0,4.574719667E-1,4.051211574E0
4.735891687E0,5.252416730E-1,-4.098955154E0,5.366575718E-1,4.167170926E0
4.752835493E0,5.908206701E-1,-4.433065414E0,8.074929714E-1,4.544577311E0
4.769746230E0,2.578247786E-1,-4.329400063E0,3.473631740E-1,4.350958480E0
4.786697668E0,3.321805000E-1,-4.223675728E0,7.288908958E-2,4.237345084E0
4.803614762E0,4.568091631E-1,-4.139235497E0,6.860041618E-2,4.164931107E0
4.820573115E0,6.271359921E-1,-4.178816795E0,1.112555265E-1,4.227077850E0
4.837499386E0,4.805479050E-1,-3.976865768E0,1.780441403E-1,4.009749038E0
4.854449053E0,4.168879986E-1,-3.949897766E0,3.359835148E-1,3.986022189E0
4.871404720E0,4.489614367E-1,-4.031101227E0,4.388459921E-1,4.079697204E0
4.888341448E0,6.447405815E-1,-4.247715950E0,5.871948600E-1,4.336309377E0
4.905273395E0,9.663050175E-1,-4.520654678E0,6.662657261E-1,4.670543237E0
4.922207731E0,1.003298640E0,-4.585117340E0,6.994362473E-1,4.745431513E0
4.939158974E0,1.022536278E0,-4.544053078E0,7.045913339E-1,4.710673812E0
4.956073445E0,9.881504774E-1,-4.461836815E0,6.669294834E-1,4.618357291E0
4.973027944E0,4.837082624E-1,-3.675577164E0,3.420666456E-1,3.723016352E0
4.989965738E0,3.835079372E-1,-3.045194626E0,1.237487495E-1,3.071742567E0
5.006932719E0,1.587440610E0,-3.219437599E0,1.070683384E1,1.129252129E1
5.023863984E0,1.486869752E-1,-2.565333366E0,-2.652434707E-1,2.583291930E0
5.040802522E0,1.929846108E-1,-2.247703552E0,-7.128227502E-3,2.255984293E0
5.057740379E0,1.950182915E-1,-2.068818092E0,2.909440994E-1,2.098258540E0
5.074688031E0,2.379491925E-1,-2.074859619E0,4.099605680E-1,2.128316218E0
5.091624422E0,4.295164347E-1,-2.121385574E0,4.374307394E-1,2.208190837E0
5.108545311E0,7.413057089E-1,-2.394171715E0,5.402318239E-1,2.563872613E0
5.125488122E0,6.426128745E-1,-2.070798874E0,5.068899393E-1,2.226678399E0
5.142429742E0,6.916008592E-1,-1.914913177E0,6.900356412E-1,2.149733335E0
5.159375747E0,5.424757004E-1,-1.365643501E0,6.547794342E-1,1.608725634E0
5.176305455E0,8.941531181E-2,-4.144983292E-1,3.660979271E-1,5.602067967E-1
5.193290238E0,3.753423691E-2,1.324062347E-1,1.069806218E-1,1.743131762E-1
5.210175736E0,-3.788411617E-3,5.510396957E-1,-1.241008639E-1,5.648540721E-1
5.227122972E0,4.776501656E-2,8.238267899E-1,-3.936872184E-1,9.143094129E-1
5.244051520E0,8.504283428E-2,1.050935745E0,-2.061945200E-2,1.054572608E0
5.260953548E0,1.509348154E-1,1.195789337E0,2.128931284E-1,1.223935023E0
5.277892056E0,8.037227392E-2,1.454305649E0,3.281231523E-1,1.493026934E0
5.294836046E0,1.531965733E-1,1.570986748E0,2.152138948E-1,1.593042866E0
5.311770800E0,4.216395020E-1,1.515948296E0,3.188011646E-1,1.605463574E0
5.328697314E0,2.457278967E-1,1.920125008E0,2.561530471E-1,1.952658861E0
5.345646646E0,2.451969385E-1,2.127146721E0,3.378238380E-1,2.167717615E0
5.362630430E0,8.556300402E-2,2.740587234E0,1.264834404E-1,2.744838334E0
5.379559294E0,-3.318095207E-1,3.596760273E0,-3.038689196E-1,3.624792179E0
5.396496857E0,-4.046127796E-1,3.998287678E0,-2.358318716E-1,4.025622005E0
